# Bounding Box Culling
Frame,Frame (ms),FPS
31,1.46,685.63
32,1.50,668.63
33,1.48,677.10
34,1.61,621.13
35,1.47,681.67
36,1.42,706.16
37,1.48,676.06
38,1.47,680.92
39,1.54,650.84
40,1.45,688.67
41,1.50,665.33
42,1.47,679.72
43,1.40,712.94
44,1.47,679.56
45,1.47,678.78
46,1.48,677.82
47,1.48,677.90
48,1.40,711.86
49,1.48,675.99
50,1.44,694.01
51,1.41,710.61
52,1.48,675.94
53,1.43,698.00
54,1.47,681.47
55,1.47,678.60
56,1.40,713.09
57,1.43,699.52
58,1.43,698.39
59,1.78,560.83
60,1.40,712.85
61,1.39,717.78
62,1.40,712.31
63,1.39,719.57
64,1.42,705.12
65,1.42,702.29
66,1.39,717.52
67,1.43,700.35
68,1.39,719.77
69,1.41,707.75
70,1.42,706.44
71,1.40,716.13
72,1.43,699.96
73,1.42,703.20
74,1.40,714.57
75,1.40,714.85
76,1.40,714.66
77,1.41,710.60
78,1.46,685.43
79,1.65,604.78
80,1.41,707.00
81,1.41,711.32
82,1.35,742.25
83,1.40,713.39
84,1.47,680.91
85,1.44,695.59
86,1.41,707.83
87,1.47,681.31
88,1.46,685.25
89,1.43,698.73
90,1.42,702.00
91,1.46,684.19
92,1.41,708.88
93,1.43,697.94
94,1.43,701.39
95,1.63,612.45
96,1.64,611.33
97,1.64,610.69
98,1.64,610.88
99,1.65,607.56
100,1.63,612.60
101,1.63,613.30
102,1.61,622.81
103,1.63,614.03
104,2.02,494.98
105,1.59,628.10
106,1.62,616.39
107,1.63,615.11
108,1.56,639.81
109,1.63,613.72
110,1.61,619.79
111,1.61,619.34
112,1.62,618.77
113,1.63,612.03
114,1.55,645.79
115,1.60,624.04
116,1.61,619.93
117,1.57,636.78
118,1.53,651.49
119,1.56,640.52
120,1.59,628.61
121,1.59,628.59
122,1.60,626.75
123,1.58,632.59
124,1.76,567.07
125,1.59,629.68
126,1.59,629.43
127,1.51,663.55
128,1.56,641.04
129,1.56,639.06
130,1.57,635.34
131,1.57,638.34
132,1.56,641.14
133,1.58,631.72
134,1.59,629.28
135,1.58,631.43
136,1.55,645.49
137,1.59,630.66
138,1.49,669.39
139,1.55,647.07
140,1.55,643.18
141,1.52,658.22
142,1.55,643.23
143,1.51,660.80
144,1.52,656.55
145,1.53,654.53
146,1.48,675.65
147,1.53,651.54
148,1.54,647.57
149,1.51,663.09
150,1.90,526.01
151,1.56,641.36
152,1.50,668.51
153,1.49,672.00
154,1.55,643.69
155,1.49,670.41
156,1.56,639.88
157,1.99,502.61
158,1.52,659.16
159,1.57,635.40
160,1.50,665.53
161,1.50,667.70
162,1.58,634.81
163,1.53,654.19
164,1.53,651.89
165,1.60,623.93
166,1.54,651.22
167,1.56,640.83
168,1.59,630.54
169,1.74,575.09
170,1.57,637.18
171,1.55,643.74
172,1.49,670.20
173,1.57,637.51
174,1.59,630.72
175,1.59,629.18
176,1.60,626.46
177,3.52,284.16
178,3.58,278.98
179,3.57,280.28
180,3.59,278.58
181,3.61,276.80
182,3.53,283.30
183,3.36,297.81
184,3.54,282.63
185,3.37,296.49
186,3.62,276.07
187,3.60,277.57
188,3.67,272.78
189,3.65,273.97
190,3.72,269.14
191,3.78,264.44
192,3.66,272.91
193,3.73,268.25
194,5.06,197.53
195,3.53,283.07
196,3.55,281.60
197,3.56,281.01
198,3.67,272.56
199,3.47,288.48
200,3.67,272.14

