# Bounding Box Culling
Frame,Frame (ms),FPS
66,4.24,235.64
67,4.22,236.86
68,4.29,233.35
69,4.34,230.51
70,4.39,227.73
71,4.39,227.75
72,4.50,222.27
73,4.54,220.05
74,4.64,215.70
75,4.70,212.79
76,4.76,209.93
77,4.83,207.25
78,4.88,205.06
79,4.95,201.91
80,5.01,199.42
81,5.10,196.11
82,5.14,194.66
83,5.21,191.83
84,5.25,190.53
85,5.28,189.23
86,5.34,187.12
87,5.38,185.93
88,5.42,184.43
89,5.42,184.65
90,5.42,184.66
91,5.47,182.78
92,5.48,182.61
93,5.51,181.43
94,5.50,181.79
95,5.49,182.19
96,5.50,181.90
97,5.49,182.19
98,5.50,181.88
99,5.51,181.59
100,5.88,170.02
101,5.55,180.03
102,5.49,182.29
103,5.88,169.94
104,6.18,161.84
105,6.15,162.61
106,6.16,162.31
107,6.14,162.79
108,6.17,162.16
109,6.18,161.87
110,6.16,162.31
111,6.15,162.67
112,6.11,163.58
113,6.10,164.05
114,6.10,163.99
115,6.08,164.40
116,6.06,164.90
117,6.03,165.87
118,6.00,166.65
119,5.99,166.86
120,5.91,169.28
121,5.85,170.87
122,5.84,171.11
123,5.82,171.90
124,5.74,174.33
125,5.72,174.87
126,5.70,175.35
127,5.63,177.47
128,5.63,177.74
129,5.59,178.91
130,5.55,180.13
131,5.51,181.42
132,5.45,183.46
133,5.40,185.15
134,5.37,186.11
135,5.32,188.00
136,5.24,190.71
137,5.11,195.76
138,5.02,199.27
139,5.00,200.06
140,4.90,203.94
141,4.82,207.35
142,4.66,214.82
143,4.63,216.09
144,4.58,218.56
145,4.61,216.72
146,4.61,216.88
147,4.72,211.99
148,4.87,205.36
149,4.90,204.01
150,5.02,199.19
151,5.10,195.97
152,5.11,195.57
153,5.21,192.10
154,5.23,191.15
155,5.26,190.29
156,5.48,182.55
157,5.77,173.45
158,5.40,185.12
159,5.51,181.45
160,5.51,181.49
161,5.55,180.30
162,5.56,179.78
163,5.67,176.33
164,5.67,176.38
165,5.76,173.55
166,5.77,173.22
167,5.89,169.78
168,5.91,169.13
169,5.94,168.43
170,5.95,168.04
171,6.02,166.05
172,6.06,164.96
173,6.13,163.20
174,6.20,161.19
175,6.61,151.24
176,7.10,140.92
177,7.11,140.59
178,7.15,139.94
179,7.31,136.89
180,7.18,139.33
181,7.12,140.49
182,6.91,144.79
183,7.09,141.13
184,7.17,139.43
185,7.20,138.83
186,7.05,141.77
187,6.58,152.09
188,5.63,177.49
189,5.63,177.48
190,5.63,177.48
191,5.64,177.44
192,5.60,178.66
193,5.61,178.41
194,5.63,177.54
195,5.58,179.11
196,5.62,178.03
197,5.58,179.18
198,5.58,179.09
199,5.59,179.00
200,5.53,180.95

