step,rot_degrees,frame_ms,fps,nodes_visited,leaves_visited
259,227.415,18.6225,53.6986,38963626,672797
260,228.293,18.6173,53.7134,38912514,672803
261,229.171,18.5569,53.8882,38873342,674152
262,230.049,18.4965,54.0642,38821639,674744
263,230.927,18.4996,54.0553,38780320,676409
264,231.805,18.4709,54.1392,38732138,677831
265,232.683,18.4822,54.1062,38682333,679184
266,233.561,18.4392,54.2324,38617106,679583
267,234.439,18.4218,54.2836,38560759,680869
268,235.317,18.3398,54.5261,38495244,681861
269,236.195,18.388,54.3834,38441783,684120
270,237.073,18.4279,54.2655,38382083,685639
271,237.951,18.4525,54.1933,38310074,686596
272,238.829,18.4627,54.1632,38242630,688208
273,239.707,18.3808,54.4046,38176751,689795
274,240.585,18.3644,54.4531,38092816,690438
275,241.463,18.3214,54.581,38022599,691941
276,242.341,18.3501,54.4957,37945396,693117
277,243.22,18.5098,54.0254,37862741,693303
278,244.098,18.2907,54.6726,37789113,694139
279,244.976,18.2497,54.7953,37706347,694560
280,245.854,18.2405,54.823,37618324,694521
281,246.732,18.2374,54.8323,37535838,694645
282,247.61,18.2272,54.8631,37452249,694669
283,248.488,18.174,55.0238,37368971,694775
284,249.366,18.2077,54.9217,37281416,694466
285,250.244,18.2057,54.9279,37193598,693916
286,251.122,18.1617,55.061,37105618,693016
287,252,18.1627,55.0579,37013968,692185
288,252.878,18.1565,55.0766,36914293,690209
289,253.756,18.1647,55.0517,36826338,689372
290,254.634,18.1606,55.0641,36732739,687349
291,255.512,18.1494,55.0983,36635674,684837
292,256.39,18.1852,54.9897,36555879,683537
293,257.268,18.1627,55.0579,36472223,680856
294,258.146,18.1985,54.9495,36388528,677723
295,259.024,18.1729,55.0269,36303325,673434
296,259.902,18.1238,55.1761,36230441,669610
297,260.78,18.0644,55.3575,36168505,665528
298,261.659,18.0634,55.3607,36108921,659803
299,262.537,17.9835,55.6066,36044713,653316
300,263.415,17.9343,55.759,35986262,645677
301,264.293,17.8493,56.0245,35962577,637516
302,265.171,17.8063,56.1598,35952615,628943
303,266.049,17.6804,56.5599,35937834,617708
304,266.927,17.62,56.7538,35954846,605799
305,267.805,17.5022,57.1356,35990534,598402
306,268.683,17.5698,56.9159,35992693,591899
307,269.561,17.4244,57.3908,35998277,589433
308,270.439,17.5811,56.8794,35992579,588875
309,271.317,17.4572,57.2831,35979242,591218
310,272.195,17.4817,57.2026,35970733,597705
311,273.073,17.5944,56.8364,35932315,605356
312,273.951,17.579,56.886,35913062,617254
313,274.829,17.6937,56.5173,35896249,628489
314,275.707,17.6845,56.5468,35885344,637732
315,276.585,17.748,56.3445,35884912,646179
316,277.463,17.8371,56.0631,35902655,654363
317,278.341,17.878,55.9346,35924151,661076
318,279.22,17.8903,55.8962,35954097,667770
319,280.098,17.8739,55.9474,35987081,673033
320,280.976,17.879,55.9314,36022874,677247
321,281.854,17.9046,55.8514,36080178,682186
322,282.732,17.8534,56.0116,36140529,686200
323,283.61,17.8627,55.9827,36211260,690465
324,284.488,17.8668,55.9699,36266953,693297
325,285.366,17.8473,56.0309,36341347,697548
326,286.244,17.5821,56.8761,36406830,700925
327,287.122,17.8504,56.0213,36472615,703704
328,288,17.8493,56.0245,36557001,707297
329,288.878,17.8842,55.9154,36644847,710423
330,289.756,17.9374,55.7494,36735793,713746
331,290.634,17.961,55.6763,36821794,716701
332,291.512,17.9948,55.5718,36899181,718796
333,292.39,17.9712,55.6446,36980533,721437
334,293.268,17.9927,55.5781,37054155,723085
335,294.146,18.0234,55.4834,37142442,725838
336,295.024,18.0521,55.3952,37229129,727528
337,295.902,18.046,55.4141,37306922,728886
338,296.78,18.0664,55.3513,37392893,730996
339,297.659,18.1402,55.1263,37478141,732339
340,298.537,18.1484,55.1014,37573678,733712
341,299.415,18.1535,55.0859,37659468,734333
342,300.293,18.1658,55.0486,37744394,735310
343,301.171,18.2374,54.8323,37833418,736827
344,302.049,18.2897,54.6757,37907982,737080
345,302.927,18.2528,54.7861,38008632,738436
346,303.805,18.2886,54.6788,38109657,739541
347,304.683,18.306,54.6268,38205078,739911
348,305.561,18.3818,54.4016,38314224,741482
349,306.439,18.4125,54.3108,38405806,741886
350,307.317,18.4658,54.1542,38506819,743603
351,308.195,18.4719,54.1362,38603476,745060
352,309.073,18.5774,53.8288,38687038,745540
353,309.951,18.601,53.7607,38771198,746260
354,310.829,18.6184,53.7104,38869139,748311
355,311.707,18.6808,53.5308,38942628,748382
356,312.585,18.7187,53.4225,39015099,748745
357,313.463,18.772,53.2709,39106341,750350
358,314.341,18.8303,53.1058,39188064,751051
359,315.22,18.8948,52.9245,39263762,752074
360,316.098,18.9768,52.696,39339285,753026
361,316.976,19.0095,52.6052,39411103,753755
362,317.854,19.0403,52.5203,39491889,754594
363,318.732,19.1027,52.3486,39558187,754749
364,319.61,19.1908,52.1083,39625392,754879
365,320.488,19.2461,51.9586,39686524,754996
366,321.366,19.1549,52.2058,39752981,756103
367,322.244,19.3126,51.7796,39816772,756391
368,323.122,19.3597,51.6536,39879556,756997
369,324,19.3802,51.599,39934364,757645
370,324.878,19.4386,51.4441,39997964,758966
371,325.756,19.4621,51.3818,40070584,760888
372,326.634,19.5011,51.2793,40127556,761433
373,327.512,19.5656,51.1102,40202614,763767
374,328.39,19.5891,51.0487,40263827,764199
375,329.268,19.5871,51.0541,40286680,761960
376,330.146,19.5553,51.137,40317675,760628
377,331.024,19.5645,51.1129,40321031,757215
378,331.902,19.5092,51.2577,40313758,752631
379,332.78,19.4703,51.3602,40291131,747566
380,333.659,19.3925,51.5663,40258293,741835
381,334.537,19.3874,51.5799,40246326,737802
382,335.415,19.3382,51.711,40229758,733787
383,336.293,19.285,51.8538,40212365,730238
384,337.171,19.2727,51.8869,40185863,726001
385,338.049,19.2492,51.9503,40176991,722881
386,338.927,19.2635,51.9117,40160288,719554
387,339.805,19.2379,51.9808,40150060,716781
388,340.683,19.1887,52.1139,40125599,712995
389,341.561,19.1764,52.1473,40118250,711056
390,342.439,19.1283,52.2785,40111949,708224
391,343.317,19.1396,52.2477,40102511,705181
392,344.195,19.0751,52.4244,40093598,702461
393,345.073,18.9952,52.6449,40066153,698099
394,345.951,18.9102,52.8815,40032550,692820
395,346.829,18.859,53.0251,39981310,686685
396,347.707,18.9829,52.679,39918477,679551
397,348.585,18.6788,53.5367,39857352,673123
398,349.463,18.5856,53.8051,39791330,665040
399,350.341,18.5231,53.9865,39738039,658077
400,351.22,18.3593,54.4683,39658924,649005
401,352.098,18.2641,54.7523,39595392,641709
402,352.976,18.1166,55.198,39527990,633852
403,353.854,17.9958,55.5686,39467996,626836
404,354.732,17.877,55.9378,39410739,620513
405,355.61,17.748,56.3445,39342485,613604
406,356.488,17.6241,56.7406,39267232,606061
407,357.366,17.2831,57.8601,39207019,599866
408,358.244,17.4305,57.3706,39135082,593133
409,359.122,17.3568,57.6143,39074853,587300
410,360,17.2739,57.891,39003416,581458
